month,Central Basin,Eastern Basin
1,0.0004238668522655278,0.0004238668522655278
2,0.0004238668522655278,0.0004238668522655278
3,0.0004238668522655278,0.0004238668522655278
4,0.0004238668522655278,0.0004238668522655278
5,0.00040943734240116945,0.00040943734240116945
6,0.00040943734240116945,0.00040943734240116945
7,0.00040943734240116945,0.00040943734240116945
8,0.00040943734240116945,0.00040943734240116945
9,0.00040943734240116945,0.00040943734240116945
10,0.00040943734240116945,0.00040943734240116945
11,0.0004238668522655278,0.0004238668522655278
12,0.0004238668522655278,0.0004238668522655278
